"id_cliente","nome_cliente","cnpj_cliente","data_criacao_cliente","data_modificacao_cliente"
156,Diamante Consultoria,"20.170.107/0001-07",2026-07-31 10:07:02.778,
157,Líder Soluções,"20.170.108/0001-08",2026-07-31 10:07:02.778,
158,Pioneira Comércio,"20.170.109/0001-09",2026-07-31 10:07:02.778,
159,Vision Empresarial,"20.170.110/0001-10",2026-07-31 10:07:02.778,
160,Excel Transportes,"20.170.111/0001-11",2026-07-31 10:07:02.778,
161,Master Tecnologia,"20.170.112/0001-12",2026-07-31 10:07:02.778,
162,Sigma Serviços,"20.170.113/0001-13",2026-07-31 10:07:02.778,
163,Solar Construções,"20.170.114/0001-14",2026-07-31 10:07:02.778,
164,Nova Aliança,"20.170.115/0001-15",2026-07-31 10:07:02.778,
165,Mercantil Brasil,"20.170.116/0001-16",2026-07-31 10:07:02.778,
166,Elite Informática,"20.170.117/0001-17",2026-07-31 10:07:02.778,
167,Global Comércio,"20.170.118/0001-18",2026-07-31 10:07:02.778,
168,Infinity Engenharia,"20.170.119/0001-19",2026-07-31 10:07:02.778,
169,Prime Atacadista,"20.170.120/0001-20",2026-07-31 10:07:02.778,
170,Connect Telecom,"20.170.121/0001-21",2026-07-31 10:07:02.778,
171,Ideal Distribuidora,"20.170.122/0001-22",2026-07-31 10:07:02.778,
172,Aurora Serviços,"20.170.123/0001-23",2026-07-31 10:07:02.778,
173,Nacional Equipamentos,"20.170.124/0001-24",2026-07-31 10:07:02.778,
174,Ponto Digital,"20.170.125/0001-25",2026-07-31 10:07:02.778,
175,Evolução Tech,"20.170.126/0001-26",2026-07-31 10:07:02.778,
176,Capital Engenharia,"20.170.127/0001-27",2026-07-31 10:07:02.778,
177,Foco Empresarial,"20.170.128/0001-28",2026-07-31 10:07:02.778,
178,Brasil Forte,"20.170.129/0001-29",2026-07-31 10:07:02.778,
179,Top Center,"20.170.130/0001-30",2026-07-31 10:07:02.778,
180,Inova Solutions,"20.170.131/0001-31",2026-07-31 10:07:02.778,
181,Master Office,"20.170.132/0001-32",2026-07-31 10:07:02.778,
182,Polo Industrial,"20.170.133/0001-33",2026-07-31 10:07:02.778,
183,Conecta Brasil,"20.170.134/0001-34",2026-07-31 10:07:02.778,
184,Grupo Horizonte,"20.170.135/0001-35",2026-07-31 10:07:02.778,
185,Vale Azul,"20.170.136/0001-36",2026-07-31 10:07:02.778,
186,Max Comércio,"20.170.137/0001-37",2026-07-31 10:07:02.778,
187,Vision Center,"20.170.138/0001-38",2026-07-31 10:07:02.778,
188,Nova Gênesis,"20.170.139/0001-39",2026-07-31 10:07:02.778,
189,Alpha Prime,"20.170.140/0001-40",2026-07-31 10:07:02.778,
190,Beta Prime,"20.170.141/0001-41",2026-07-31 10:07:02.778,
191,Gamma Solutions,"20.170.142/0001-42",2026-07-31 10:07:02.778,
192,Delta Serviços,"20.170.143/0001-43",2026-07-31 10:07:02.778,
193,Omega Industrial,"20.170.144/0001-44",2026-07-31 10:07:02.778,
194,Titan Group,"20.170.145/0001-45",2026-07-31 10:07:02.778,
195,Avante Brasil,"20.170.146/0001-46",2026-07-31 10:07:02.778,
196,Mundo Empresarial,"20.170.147/0001-47",2026-07-31 10:07:02.778,
197,Progresso Tecnologia,"20.170.148/0001-48",2026-07-31 10:07:02.778,
198,Smart Business,"20.170.149/0001-49",2026-07-31 10:07:02.778,
199,Digital World,"20.170.150/0001-50",2026-07-31 10:07:02.778,
200,Center Logistics,"20.170.151/0001-51",2026-07-31 10:07:02.778,
201,Mega Construções,"20.170.152/0001-52",2026-07-31 10:07:02.778,
202,Master Express,"20.170.153/0001-53",2026-07-31 10:07:02.778,
203,Fort Indústria,"20.170.154/0001-54",2026-07-31 10:07:02.778,
204,Nova Capital,"20.170.155/0001-55",2026-07-31 10:07:02.778,
205,Ideal Business,"20.170.156/0001-56",2026-07-31 10:07:02.778,
206,Mercado Central,"20.170.157/0001-57",2026-07-31 10:07:02.778,
207,União Comercial,"20.170.158/0001-58",2026-07-31 10:07:02.778,
208,Atlas Engenharia,"20.170.159/0001-59",2026-07-31 10:07:02.778,
209,Brasil Digital,"20.170.160/0001-60",2026-07-31 10:07:02.778,
210,Tech Vision,"20.170.161/0001-61",2026-07-31 10:07:02.778,
211,Global Tech,"20.170.162/0001-62",2026-07-31 10:07:02.778,
212,Infinity Business,"20.170.163/0001-63",2026-07-31 10:07:02.778,
213,Top Soluções,"20.170.164/0001-64",2026-07-31 10:07:02.778,
214,Central Office,"20.170.165/0001-65",2026-07-31 10:07:02.778,
215,Rota Brasil,"20.170.166/0001-66",2026-07-31 10:07:02.778,
216,Blue Sky,"20.170.167/0001-67",2026-07-31 10:07:02.778,
217,Green Valley,"20.170.168/0001-68",2026-07-31 10:07:02.778,
218,Black Stone,"20.170.169/0001-69",2026-07-31 10:07:02.778,
219,Golden Company,"20.170.170/0001-70",2026-07-31 10:07:02.778,
220,Silver Comércio,"20.170.171/0001-71",2026-07-31 10:07:02.778,
221,Crystal Tecnologia,"20.170.172/0001-72",2026-07-31 10:07:02.778,
222,Vision Plus,"20.170.173/0001-73",2026-07-31 10:07:02.778,
223,Mega Forte,"20.170.174/0001-74",2026-07-31 10:07:02.778,
224,Integra Group,"20.170.175/0001-75",2026-07-31 10:07:02.778,
225,Master Link,"20.170.176/0001-76",2026-07-31 10:07:02.778,
226,Open Solutions,"20.170.177/0001-77",2026-07-31 10:07:02.778,
227,Future Tech,"20.170.178/0001-78",2026-07-31 10:07:02.778,
228,Infinity Log,"20.170.179/0001-79",2026-07-31 10:07:02.778,
229,Prime Industrial,"20.170.180/0001-80",2026-07-31 10:07:02.778,
230,Alpha Business,"20.170.181/0001-81",2026-07-31 10:07:02.778,
231,Brasil Connect,"20.170.182/0001-82",2026-07-31 10:07:02.778,
232,Fênix Comercial,"20.170.183/0001-83",2026-07-31 10:07:02.778,
233,Aurora Digital,"20.170.184/0001-84",2026-07-31 10:07:02.778,
234,Matrix Sistemas,"20.170.185/0001-85",2026-07-31 10:07:02.778,
235,Impacto Engenharia,"20.170.186/0001-86",2026-07-31 10:07:02.778,
236,Nexus Tecnologia,"20.170.187/0001-87",2026-07-31 10:07:02.778,
237,Orion Soluções,"20.170.188/0001-88",2026-07-31 10:07:02.778,
238,Quantum Business,"20.170.189/0001-89",2026-07-31 10:07:02.778,
239,Phoenix Group,"20.170.190/0001-90",2026-07-31 10:07:02.778,
240,Lótus Serviços,"20.170.191/0001-91",2026-07-31 10:07:02.778,
241,Estrela do Sul,"20.170.192/0001-92",2026-07-31 10:07:02.778,
242,Costa Verde,"20.170.193/0001-93",2026-07-31 10:07:02.778,
243,Integra Prime,"20.170.194/0001-94",2026-07-31 10:07:02.778,
244,Top Master,"20.170.195/0001-95",2026-07-31 10:07:02.778,
245,Portal Empresarial,"20.170.196/0001-96",2026-07-31 10:07:02.778,
246,Nova Era Comércio,"20.170.197/0001-97",2026-07-31 10:07:02.778,
247,Brasil Excellence,"20.170.198/0001-98",2026-07-31 10:07:02.778,
248,Suprema Tecnologia,"20.170.199/0001-99",2026-07-31 10:07:02.778,
249,Evolução Corporativa,"20.170.200/0001-00",2026-07-31 10:07:02.778,
250,Orbital Tecnologia,"30.001.001/0001-01",2026-07-31 10:08:01.369,
251,Vale Dourado Comércio,"30.001.002/0001-02",2026-07-31 10:08:01.369,
252,Nova Perspectiva Ltda,"30.001.003/0001-03",2026-07-31 10:08:01.369,
253,Integra Mais,"30.001.004/0001-04",2026-07-31 10:08:01.369,
254,Aliança Empresarial,"30.001.005/0001-05",2026-07-31 10:08:01.369,
255,Fortex Indústria,"30.001.006/0001-06",2026-07-31 10:08:01.369,
256,Evoluir Soluções,"30.001.007/0001-07",2026-07-31 10:08:01.369,
257,Vision Corp,"30.001.008/0001-08",2026-07-31 10:08:01.369,
258,Central Business,"30.001.009/0001-09",2026-07-31 10:08:01.369,
259,Inova Brasil,"30.001.010/0001-10",2026-07-31 10:08:01.369,
260,Top Vision,"30.001.011/0001-11",2026-07-31 10:08:01.369,
261,Master Line,"30.001.012/0001-12",2026-07-31 10:08:01.369,
262,Grupo Solaris,"30.001.013/0001-13",2026-07-31 10:08:01.369,
263,Aurora Tech,"30.001.014/0001-14",2026-07-31 10:08:01.369,
264,Nexus Brasil,"30.001.015/0001-15",2026-07-31 10:08:01.369,
265,Brasil Forte Ltda,"30.001.016/0001-16",2026-07-31 10:08:01.369,
266,Atlântica Serviços,"30.001.017/0001-17",2026-07-31 10:08:01.369,
267,Mega Center,"30.001.018/0001-18",2026-07-31 10:08:01.369,
268,Suprema Engenharia,"30.001.019/0001-19",2026-07-31 10:08:01.369,
269,Infinity Solutions,"30.001.020/0001-20",2026-07-31 10:08:01.369,
270,Quantum Sistemas,"30.001.021/0001-21",2026-07-31 10:08:01.369,
271,Prime Solutions,"30.001.022/0001-22",2026-07-31 10:08:01.369,
272,Grupo Horizonte Sul,"30.001.023/0001-23",2026-07-31 10:08:01.369,
273,Conecta Empresas,"30.001.024/0001-24",2026-07-31 10:08:01.369,
274,Litoral Express,"30.001.025/0001-25",2026-07-31 10:08:01.369,
275,Capital Serviços,"30.001.026/0001-26",2026-07-31 10:08:01.369,
276,Nordeste Comercial,"30.001.027/0001-27",2026-07-31 10:08:01.369,
277,Império Tech,"30.001.028/0001-28",2026-07-31 10:08:01.369,
278,Ideal Partners,"30.001.029/0001-29",2026-07-31 10:08:01.369,
279,Mundo Corporativo,"30.001.030/0001-30",2026-07-31 10:08:01.369,
280,Central Alpha,"30.001.031/0001-31",2026-07-31 10:08:01.369,
281,Beta Prime,"30.001.032/0001-32",2026-07-31 10:08:01.369,
282,Gamma Comercial,"30.001.033/0001-33",2026-07-31 10:08:01.369,
283,Delta Tecnologia,"30.001.034/0001-34",2026-07-31 10:08:01.369,
284,Ômega Distribuição,"30.001.035/0001-35",2026-07-31 10:08:01.369,
285,Master Brasil,"30.001.036/0001-36",2026-07-31 10:08:01.369,
286,Lince Sistemas,"30.001.037/0001-37",2026-07-31 10:08:01.369,
287,Titan Engenharia,"30.001.038/0001-38",2026-07-31 10:08:01.369,
288,Cristal Soluções,"30.001.039/0001-39",2026-07-31 10:08:01.369,
289,Avante Corp,"30.001.040/0001-40",2026-07-31 10:08:01.369,
290,Top Indústria,"30.001.041/0001-41",2026-07-31 10:08:01.369,
291,Mercantil União,"30.001.042/0001-42",2026-07-31 10:08:01.369,
292,Blue Star,"30.001.043/0001-43",2026-07-31 10:08:01.369,
293,Green Solutions,"30.001.044/0001-44",2026-07-31 10:08:01.369,
294,Black River,"30.001.045/0001-45",2026-07-31 10:08:01.369,
295,Silver Tech,"30.001.046/0001-46",2026-07-31 10:08:01.369,
296,Golden Business,"30.001.047/0001-47",2026-07-31 10:08:01.369,
297,Master Point,"30.001.048/0001-48",2026-07-31 10:08:01.369,
298,Inova Center,"30.001.049/0001-49",2026-07-31 10:08:01.369,
299,Nova Conquista,"30.001.050/0001-50",2026-07-31 10:08:01.369,
300,Phoenix Serviços,"30.001.051/0001-51",2026-07-31 10:08:01.369,
301,Solar Prime,"30.001.052/0001-52",2026-07-31 10:08:01.369,
302,Vértice Engenharia,"30.001.053/0001-53",2026-07-31 10:08:01.369,
303,Norte Sul Ltda,"30.001.054/0001-54",2026-07-31 10:08:01.369,
304,Open Business,"30.001.055/0001-55",2026-07-31 10:08:01.369,
305,Bridge Tecnologia,"30.001.056/0001-56",2026-07-31 10:08:01.369,
306,IntegraMax,"30.001.057/0001-57",2026-07-31 10:08:01.369,
307,Master Connect,"30.001.058/0001-58",2026-07-31 10:08:01.369,
308,Fast Company,"30.001.059/0001-59",2026-07-31 10:08:01.369,
309,Excel Group,"30.001.060/0001-60",2026-07-31 10:08:01.369,
310,Future Sistemas,"30.001.061/0001-61",2026-07-31 10:08:01.369,
311,Smart Evolution,"30.001.062/0001-62",2026-07-31 10:08:01.369,
312,Digital One,"30.001.063/0001-63",2026-07-31 10:08:01.369,
313,Tech Vision Brasil,"30.001.064/0001-64",2026-07-31 10:08:01.369,
314,Alpha Center,"30.001.065/0001-65",2026-07-31 10:08:01.369,
315,Sigma Business,"30.001.066/0001-66",2026-07-31 10:08:01.369,
316,Matrix Engenharia,"30.001.067/0001-67",2026-07-31 10:08:01.369,
317,Impacto Nacional,"30.001.068/0001-68",2026-07-31 10:08:01.369,
318,Infinity Corp,"30.001.069/0001-69",2026-07-31 10:08:01.369,
319,Brasil Office,"30.001.070/0001-70",2026-07-31 10:08:01.369,
320,Vision Office,"30.001.071/0001-71",2026-07-31 10:08:01.369,
321,Portal Brasil,"30.001.072/0001-72",2026-07-31 10:08:01.369,
322,Express Solutions,"30.001.073/0001-73",2026-07-31 10:08:01.369,
323,Prime Industrial,"30.001.074/0001-74",2026-07-31 10:08:01.369,
324,Master Global,"30.001.075/0001-75",2026-07-31 10:08:01.369,
325,Smart Link,"30.001.076/0001-76",2026-07-31 10:08:01.369,
326,Grupo Delta,"30.001.077/0001-77",2026-07-31 10:08:01.369,
327,Grupo Ônix,"30.001.078/0001-78",2026-07-31 10:08:01.369,
328,Vision Plus,"30.001.079/0001-79",2026-07-31 10:08:01.369,
329,Empório Nacional,"30.001.080/0001-80",2026-07-31 10:08:01.369,
330,Forte Comercial,"30.001.081/0001-81",2026-07-31 10:08:01.369,
331,Brasil Premium,"30.001.082/0001-82",2026-07-31 10:08:01.369,
332,Mercado Vitória,"30.001.083/0001-83",2026-07-31 10:08:01.369,
333,Conquista Ltda,"30.001.084/0001-84",2026-07-31 10:08:01.369,
334,Elite Group,"30.001.085/0001-85",2026-07-31 10:08:01.369,
335,Eclipse Sistemas,"30.001.086/0001-86",2026-07-31 10:08:01.369,
336,Orion Tech,"30.001.087/0001-87",2026-07-31 10:08:01.369,
337,Pegasus Corp,"30.001.088/0001-88",2026-07-31 10:08:01.369,
338,Lótus Business,"30.001.089/0001-89",2026-07-31 10:08:01.369,
339,Águia Forte,"30.001.090/0001-90",2026-07-31 10:08:01.369,
340,Rota Sul,"30.001.091/0001-91",2026-07-31 10:08:01.369,
341,Conecta Sul,"30.001.092/0001-92",2026-07-31 10:08:01.369,
342,Mercantil Brasil Sul,"30.001.093/0001-93",2026-07-31 10:08:01.369,
343,Aurum Tecnologia,"30.001.094/0001-94",2026-07-31 10:08:01.369,
344,Integra Office,"30.001.095/0001-95",2026-07-31 10:08:01.369,
345,Futuro Digital,"30.001.096/0001-96",2026-07-31 10:08:01.369,
346,Nova Fase,"30.001.097/0001-97",2026-07-31 10:08:01.369,
347,Central Forte,"30.001.098/0001-98",2026-07-31 10:08:01.369,
348,Excelência Brasil,"30.001.099/0001-99",2026-07-31 10:08:01.369,
349,Grupo Legacy,"30.001.100/0001-00",2026-07-31 10:08:01.369,
350,Grupo Horizonte Ltda,"50.001.013/0001-01",2026-07-31 10:10:54.065,
351,Comercial Horizonte Ltda,"50.002.026/0001-02",2026-07-31 10:10:54.065,
352,Distribuidora Horizonte Ltda,"50.003.039/0001-03",2026-07-31 10:10:54.065,
353,Construtora Horizonte Ltda,"50.004.052/0001-04",2026-07-31 10:10:54.065,
